Record_ID,Date,Store_Location,Region,Total_Employees,Full_Time_Employees,Part_Time_Employees,Seasonal_Employees,Employee_Turnover_Rate_%,Employee_Satisfaction_Score,Women_Employees_%,Minority_Employees_%,Employees_with_Disabilities_%,Diversity_Score,Community_Engagement_Hours,Charitable_Donations_usd,Local_Sourcing_%,Community_Programs,Health_Safety_Incidents,Lost_Time_Injuries,Safety_Training_Hours,Health_Safety_Score,Employee_Category,Program_Type,Compliance_Status,Performance_Score,Data_Quality_Score,Month,Day_Type,Quarter
4488,2023-07-07,Store_011,North,121,73,17,31,34.52,3.4,53.4,31.89,5.93,92.4,189,40237,66.48,10,0,4,157,90.2,Full-Time,Training,Compliant,69.4,87.6,7,Weekday,Q3
10619,2023-07-07,Store_003,South,249,146,93,10,22.4,4.6,31.92,47.63,14.05,84.1,11,36627,76.45,9,6,1,16,89.1,Seasonal,Wellness,Non-Compliant,85.9,82.2,7,Weekday,Q3
9336,2023-07-07,Store_016,Central,153,78,44,31,36.86,3.1,54.35,49.15,12.52,87.0,338,22878,23.06,9,2,3,158,67.2,Part-Time,Wellness,Compliant,91.7,90.4,7,Weekday,Q3
13040,2023-07-07,Store_018,South,151,83,22,46,28.05,3.4,25.54,32.48,3.97,80.2,398,4486,42.1,14,0,2,149,80.9,Full-Time,Training,Non-Compliant,72.2,89.2,7,Weekday,Q3
7173,2023-07-07,Store_050,Central,226,134,72,20,8.94,3.4,34.54,47.84,12.69,87.3,262,28272,56.82,11,7,4,37,82.5,Full-Time,Training,Compliant,96.8,91.4,7,Weekday,Q3
790,2023-07-07,Store_011,North,193,95,88,10,38.4,3.1,53.27,38.75,12.26,51.9,285,30635,75.4,7,8,4,161,88.3,Full-Time,Training,Compliant,50.5,84.9,7,Weekday,Q3
8575,2023-07-07,Store_003,South,202,108,82,12,21.04,4.9,53.27,11.3,12.85,46.5,329,3852,47.09,11,1,1,95,79.5,Part-Time,Community,Compliant,53.0,92.1,7,Weekday,Q3
8914,2023-07-07,Store_017,Central,185,63,96,26,23.11,3.9,43.45,35.42,8.28,76.9,214,45771,37.73,5,4,3,27,92.6,Full-Time,Diversity,Compliant,100.0,86.0,7,Weekday,Q3
8928,2023-07-07,Store_019,Central,199,94,69,36,36.25,3.3,22.43,13.68,11.88,88.0,411,29429,16.52,10,9,1,54,96.1,Part-Time,Wellness,Compliant,63.0,95.2,7,Weekday,Q3
4123,2023-07-07,Store_021,North,110,26,83,1,5.03,4.8,31.21,42.77,6.9,88.1,274,21766,26.52,6,0,1,47,74.5,Full-Time,Community,Compliant,51.2,83.8,7,Weekday,Q3
15923,2023-07-07,Store_040,South,260,142,95,23,9.54,3.7,54.57,42.87,3.83,69.5,457,259,71.92,17,0,1,136,67.0,Full-Time,Community,Partial,55.1,97.6,7,Weekday,Q3
15929,2023-07-07,Store_005,South,184,136,48,0,8.86,3.2,54.16,46.63,7.6,74.2,106,20979,10.51,5,4,3,186,93.1,Full-Time,Wellness,Compliant,98.6,80.5,7,Weekday,Q3
9782,2023-07-07,Store_016,West,106,72,27,7,18.41,3.7,51.43,40.16,14.59,64.0,190,2373,33.78,3,1,3,105,85.9,Full-Time,Training,Compliant,94.8,91.3,7,Weekday,Q3
9691,2023-07-07,Store_033,West,222,144,69,9,19.77,4.2,40.29,42.47,6.04,70.8,437,29291,59.2,18,2,0,12,84.4,Full-Time,Training,Compliant,90.6,82.9,7,Weekday,Q3
19176,2023-07-07,Store_039,South,132,25,65,42,11.67,4.1,21.06,40.71,14.31,93.3,395,45787,65.45,9,3,0,16,71.8,Full-Time,Wellness,Compliant,58.7,99.6,7,Weekday,Q3
2920,2023-07-07,Store_050,North,131,80,50,1,30.4,3.2,34.27,48.77,12.63,66.4,22,21623,55.21,13,6,3,83,66.8,Part-Time,Wellness,Compliant,77.3,98.3,7,Weekday,Q3
3376,2023-07-07,Store_024,South,105,34,70,1,6.66,3.8,24.79,49.57,12.97,57.7,51,42096,32.17,11,0,4,17,90.6,Seasonal,Training,Non-Compliant,97.3,91.5,7,Weekday,Q3
7639,2023-07-07,Store_017,Central,193,96,58,39,12.78,4.6,32.6,42.01,9.15,60.0,203,21145,52.83,16,8,0,170,90.1,Part-Time,Diversity,Compliant,76.4,86.6,7,Weekday,Q3
7986,2023-07-07,Store_027,West,172,88,46,38,36.3,4.9,45.33,40.27,3.14,72.4,94,38772,42.55,12,3,2,146,99.4,Full-Time,Community,Compliant,64.8,81.0,7,Weekday,Q3
8718,2023-07-07,Store_017,Central,125,24,81,20,10.67,3.3,47.79,40.69,2.87,92.6,128,37658,55.31,15,7,4,164,75.6,Full-Time,Community,Non-Compliant,65.9,92.9,7,Weekday,Q3
11582,2023-07-07,Store_019,North,149,32,97,20,12.27,4.6,46.53,45.85,7.3,83.5,152,19597,56.79,18,8,2,154,65.5,Full-Time,Wellness,Compliant,79.4,76.0,7,Weekday,Q3
14332,2023-07-07,Store_033,North,160,139,17,4,21.03,4.0,28.08,20.38,8.11,47.6,106,21441,68.48,5,1,4,151,86.1,Full-Time,Wellness,Compliant,70.2,95.3,7,Weekday,Q3
1970,2023-07-07,Store_009,East,175,111,43,21,8.79,3.2,54.48,48.64,10.8,53.3,418,4050,14.81,3,4,1,88,89.3,Seasonal,Community,Compliant,85.4,85.5,7,Weekday,Q3
839,2023-07-07,Store_016,Central,195,135,36,24,19.76,3.8,48.14,25.11,5.35,87.9,202,8980,72.51,12,9,1,74,94.4,Part-Time,Community,Compliant,52.4,93.0,7,Weekday,Q3
8375,2023-07-07,Store_034,North,184,117,27,40,5.99,3.6,48.09,37.49,4.67,77.5,455,28278,69.11,6,0,1,93,74.9,Full-Time,Training,Partial,73.0,78.8,7,Weekday,Q3
5397,2023-07-07,Store_042,South,193,106,51,36,29.27,3.7,29.82,25.7,14.85,86.8,448,603,18.3,2,6,1,98,61.3,Seasonal,Community,Compliant,58.0,83.8,7,Weekday,Q3
3039,2023-07-07,Store_025,South,132,85,45,2,35.96,3.3,36.06,25.39,9.07,49.6,206,12588,69.31,19,2,0,30,76.8,Full-Time,Training,Compliant,84.0,84.6,7,Weekday,Q3
647,2023-07-07,Store_036,South,165,56,60,49,32.14,3.3,36.75,19.66,2.77,58.0,259,11703,29.52,16,0,4,114,97.9,Full-Time,Community,Compliant,52.4,84.7,7,Weekday,Q3
11894,2023-07-07,Store_037,Central,186,97,53,36,13.15,3.9,32.35,12.01,12.23,63.0,304,1074,69.62,10,4,0,136,90.7,Part-Time,Training,Compliant,79.1,91.2,7,Weekday,Q3
3533,2023-07-07,Store_021,Central,132,81,32,19,11.44,4.9,56.42,48.38,10.26,68.0,169,1275,58.85,14,9,0,159,83.0,Part-Time,Wellness,Compliant,53.2,88.4,7,Weekday,Q3
7396,2023-07-07,Store_003,Central,133,37,60,36,9.68,5.0,54.52,41.12,4.2,75.0,101,31453,33.39,0,1,4,132,70.3,Full-Time,Training,Compliant,83.2,94.2,7,Weekday,Q3
7767,2023-07-07,Store_050,South,159,105,36,18,19.12,3.1,37.24,13.62,9.0,49.2,14,42121,10.75,14,0,0,87,94.3,Part-Time,Training,Compliant,52.4,97.1,7,Weekday,Q3
16595,2023-07-07,Store_021,Central,222,112,82,28,35.54,3.1,44.25,13.96,10.64,65.5,27,24663,45.52,11,8,0,67,65.4,Full-Time,Training,Compliant,74.0,93.0,7,Weekday,Q3
19839,2023-07-07,Store_018,Central,123,58,54,11,34.48,4.3,44.55,13.66,5.99,85.7,319,42541,28.72,15,1,1,89,90.1,Full-Time,Community,Compliant,87.5,90.8,7,Weekday,Q3
625,2023-07-07,Store_034,East,121,79,36,6,32.01,4.9,27.39,20.75,13.01,80.6,340,49688,28.95,10,7,4,70,61.4,Full-Time,Training,Partial,74.2,78.0,7,Weekday,Q3
11238,2023-07-07,Store_035,Central,206,140,49,17,20.71,3.3,55.3,26.43,8.24,71.0,419,26739,12.83,0,6,2,173,61.9,Full-Time,Training,Non-Compliant,54.6,95.4,7,Weekday,Q3
13882,2023-07-07,Store_024,East,191,80,81,30,31.0,3.6,40.34,30.73,11.93,48.3,56,38658,73.99,19,2,2,51,78.2,Full-Time,Training,Compliant,86.2,78.4,7,Weekday,Q3
10530,2023-07-07,Store_047,North,169,23,99,47,9.84,4.4,42.66,19.97,7.94,86.7,471,28112,79.28,0,1,1,98,80.9,Part-Time,Training,Non-Compliant,95.1,88.1,7,Weekday,Q3
8809,2023-07-07,Store_002,North,88,26,23,39,9.93,3.8,32.14,22.69,5.62,84.4,166,32535,77.24,11,7,3,97,95.0,Full-Time,Wellness,Compliant,80.1,78.4,7,Weekday,Q3
17189,2023-07-07,Store_021,West,155,83,43,29,11.56,3.8,35.69,16.98,9.79,61.1,392,14133,37.17,15,8,1,185,69.7,Full-Time,Training,Compliant,54.1,97.8,7,Weekday,Q3
1696,2023-07-07,Store_021,North,51,21,29,1,22.05,4.8,48.23,34.62,10.17,74.9,57,12394,13.1,8,1,4,111,75.2,Seasonal,Community,Compliant,96.4,92.3,7,Weekday,Q3
19868,2023-07-07,Store_024,South,187,110,40,37,13.91,3.5,54.8,22.1,6.03,88.7,24,15761,54.41,15,8,0,10,87.4,Full-Time,Wellness,Partial,65.1,82.5,7,Weekday,Q3
6402,2023-07-15,Store_003,Central,172,114,11,47,27.06,4.6,35.83,36.41,2.28,73.0,343,29790,33.23,11,8,4,98,78.0,Full-Time,Community,Non-Compliant,82.6,89.5,7,Weekend,Q3
4225,2023-07-15,Store_010,West,58,33,20,5,29.59,3.2,49.84,48.57,5.27,82.0,60,23180,18.33,5,0,2,184,90.2,Full-Time,Community,Compliant,75.9,91.3,7,Weekend,Q3
5445,2023-07-15,Store_002,South,172,70,85,17,7.83,4.5,51.74,38.95,9.44,79.0,238,30908,16.0,11,4,3,30,87.6,Full-Time,Community,Compliant,68.7,89.4,7,Weekend,Q3
16636,2023-07-15,Store_041,South,165,140,18,7,32.73,3.4,47.96,14.99,13.22,90.0,63,20851,53.22,11,3,4,40,99.2,Seasonal,Wellness,Non-Compliant,56.9,83.4,7,Weekend,Q3
5357,2023-07-15,Store_041,West,150,59,53,38,15.66,3.8,51.91,25.39,12.5,83.6,94,16696,61.29,16,2,4,137,60.1,Full-Time,Training,Compliant,51.8,95.1,7,Weekend,Q3
10990,2023-07-15,Store_042,West,83,32,9,42,30.35,3.8,22.77,10.33,3.14,61.8,344,32828,30.94,2,1,4,104,83.6,Full-Time,Diversity,Partial,62.0,76.3,7,Weekend,Q3
12135,2023-07-15,Store_013,West,147,91,15,41,24.3,4.8,51.3,45.79,14.41,83.0,53,14970,52.23,13,3,0,111,79.8,Seasonal,Wellness,Compliant,51.6,81.8,7,Weekend,Q3
6555,2023-07-15,Store_001,West,127,38,51,38,9.81,3.9,41.13,23.23,12.15,69.0,68,45963,11.44,9,0,0,161,65.9,Full-Time,Training,Compliant,64.3,80.9,7,Weekend,Q3
6785,2023-07-15,Store_018,South,114,29,68,17,16.37,4.2,39.47,13.17,3.03,47.1,315,27496,56.07,1,7,3,193,93.8,Part-Time,Community,Compliant,71.7,93.0,7,Weekend,Q3
17341,2023-07-15,Store_047,North,92,60,31,1,30.95,4.3,48.38,48.43,12.96,77.6,162,15983,15.91,3,5,0,176,71.9,Full-Time,Community,Compliant,97.8,82.9,7,Weekend,Q3
6375,2023-07-15,Store_040,North,162,94,28,40,32.57,3.7,31.64,13.87,14.79,74.3,173,20534,31.99,19,2,1,64,74.2,Full-Time,Training,Compliant,87.7,94.9,7,Weekend,Q3
8925,2023-07-15,Store_001,East,150,65,45,40,38.52,4.0,32.17,22.15,8.15,92.1,391,41683,71.87,14,9,2,169,70.3,Part-Time,Training,Compliant,96.8,81.0,7,Weekend,Q3
8009,2023-07-15,Store_042,East,186,81,98,7,35.88,4.2,24.29,22.39,12.15,42.0,453,11616,70.44,8,6,3,182,87.5,Full-Time,Training,Compliant,63.4,85.4,7,Weekend,Q3
6863,2023-07-15,Store_028,South,109,36,43,30,9.55,3.8,37.57,19.77,13.46,82.1,428,6812,77.9,4,4,1,10,83.2,Full-Time,Training,Compliant,63.0,88.6,7,Weekend,Q3
15917,2023-07-15,Store_038,East,210,87,94,29,33.28,3.9,27.9,25.03,2.12,64.8,485,20387,40.09,10,5,3,56,92.1,Full-Time,Community,Compliant,65.5,95.2,7,Weekend,Q3
11239,2023-07-15,Store_029,West,120,47,42,31,28.85,4.0,24.23,38.29,11.41,49.3,256,6722,77.77,3,0,4,111,71.4,Full-Time,Training,Non-Compliant,92.7,77.6,7,Weekend,Q3
15717,2023-07-15,Store_028,Central,91,22,48,21,19.38,4.9,54.43,12.41,14.37,60.9,150,21823,27.08,3,0,1,171,93.7,Part-Time,Community,Compliant,77.3,87.0,7,Weekend,Q3
16616,2023-07-15,Store_007,East,201,96,98,7,16.04,4.6,45.35,48.45,14.64,81.6,158,32993,47.07,1,8,2,126,91.4,Full-Time,Wellness,Compliant,55.3,79.0,7,Weekend,Q3
387,2023-07-15,Store_047,North,171,76,50,45,22.04,4.2,25.1,49.27,9.96,82.6,498,10248,58.54,6,6,0,137,72.0,Full-Time,Training,Compliant,86.2,76.8,7,Weekend,Q3
12363,2023-07-15,Store_015,East,202,113,83,6,32.67,3.7,32.58,14.76,5.62,64.8,143,25096,66.14,15,4,2,144,87.1,Full-Time,Training,Compliant,51.3,90.4,7,Weekend,Q3
10283,2023-07-15,Store_050,South,53,21,32,0,36.18,4.7,44.31,45.86,8.12,51.2,398,29921,67.9,3,5,3,32,64.1,Seasonal,Wellness,Compliant,91.0,87.0,7,Weekend,Q3
17049,2023-07-15,Store_030,West,113,42,42,29,6.33,4.2,34.45,25.63,3.36,47.9,158,41424,75.74,2,7,4,163,98.9,Part-Time,Training,Non-Compliant,62.9,97.6,7,Weekend,Q3
16987,2023-07-15,Store_005,West,55,36,15,4,27.67,4.9,24.9,47.62,10.11,42.7,334,38140,23.44,4,8,3,172,60.2,Part-Time,Wellness,Compliant,82.3,91.9,7,Weekend,Q3
11040,2023-07-15,Store_038,West,102,38,43,21,39.71,4.5,56.53,27.08,10.9,58.5,107,44384,26.96,6,6,1,122,96.5,Full-Time,Training,Compliant,99.1,90.9,7,Weekend,Q3
103,2023-07-15,Store_031,East,210,135,73,2,34.31,4.9,33.16,19.38,3.93,50.1,423,1146,67.89,17,0,2,114,68.5,Full-Time,Wellness,Compliant,93.4,93.2,7,Weekend,Q3
9124,2023-07-15,Store_001,West,191,138,49,4,28.63,3.2,47.41,47.27,5.04,93.3,219,45209,61.72,19,2,3,34,89.3,Full-Time,Community,Partial,65.7,79.6,7,Weekend,Q3
3994,2023-07-15,Store_024,Central,155,134,11,10,35.62,3.6,32.65,47.09,9.24,81.8,418,31873,35.65,6,6,0,136,86.8,Seasonal,Training,Compliant,67.6,82.7,7,Weekend,Q3
7445,2023-07-15,Store_016,Central,173,139,11,23,19.47,4.2,36.62,32.75,4.51,61.1,159,44539,70.54,4,9,1,71,71.4,Part-Time,Wellness,Compliant,66.4,91.1,7,Weekend,Q3
7009,2023-07-15,Store_033,Central,234,99,92,43,22.9,3.8,59.85,41.41,11.78,42.8,104,35142,62.62,12,1,2,190,89.3,Full-Time,Training,Compliant,63.0,79.6,7,Weekend,Q3
15669,2023-07-15,Store_044,Central,168,109,14,45,14.29,3.9,50.88,28.97,9.9,49.5,0,20961,46.8,5,5,0,128,78.3,Full-Time,Training,Non-Compliant,98.6,81.4,7,Weekend,Q3
732,2023-07-15,Store_044,South,97,39,32,26,34.3,4.2,33.01,15.72,10.56,75.9,245,39742,45.99,10,0,2,74,70.4,Full-Time,Training,Non-Compliant,72.4,86.4,7,Weekend,Q3
14168,2023-07-15,Store_015,North,138,25,96,17,22.25,4.4,28.27,46.89,13.71,42.6,319,2035,27.34,9,2,0,191,89.9,Part-Time,Training,Compliant,79.4,95.7,7,Weekend,Q3
16124,2023-07-15,Store_045,East,173,109,32,32,12.87,3.4,42.36,20.34,14.6,48.9,295,590,65.02,8,8,1,122,92.8,Full-Time,Training,Compliant,56.9,100.0,7,Weekend,Q3
17681,2023-07-15,Store_046,Central,180,65,88,27,17.92,5.0,51.74,17.26,2.07,92.1,426,40415,42.54,4,0,4,193,78.0,Seasonal,Training,Partial,52.7,84.4,7,Weekend,Q3
14127,2023-07-15,Store_027,Central,226,134,71,21,34.17,3.8,43.7,44.9,2.21,87.7,147,45482,48.5,12,2,4,197,64.8,Full-Time,Training,Partial,50.7,96.4,7,Weekend,Q3
11947,2023-07-15,Store_041,West,174,139,22,13,13.04,4.0,55.81,45.34,9.55,43.4,330,5413,47.68,11,8,1,190,70.0,Full-Time,Wellness,Partial,74.3,98.3,7,Weekend,Q3
11714,2023-07-15,Store_028,West,101,35,62,4,30.73,3.3,25.73,41.58,6.59,66.9,462,16472,71.64,16,1,0,148,78.3,Full-Time,Diversity,Compliant,88.4,85.6,7,Weekend,Q3
4992,2023-07-15,Store_041,North,107,65,14,28,18.44,4.1,32.07,26.53,13.88,45.6,460,42250,21.12,16,9,1,170,72.0,Full-Time,Training,Compliant,51.0,80.7,7,Weekend,Q3
560,2023-07-15,Store_031,North,199,126,63,10,37.41,4.4,21.84,29.05,3.47,56.3,168,33361,22.45,12,1,4,140,63.7,Full-Time,Community,Compliant,64.2,93.3,7,Weekend,Q3
2410,2023-07-15,Store_003,West,240,143,90,7,31.46,4.6,28.17,21.55,9.64,49.5,294,23022,61.53,9,3,4,192,96.6,Part-Time,Community,Compliant,94.5,76.7,7,Weekend,Q3
18961,2023-07-15,Store_016,West,231,146,62,23,20.81,4.9,53.95,43.28,11.85,75.6,29,19825,37.34,12,5,3,20,78.3,Full-Time,Training,Compliant,64.2,98.4,7,Weekend,Q3
303,2023-07-15,Store_027,North,124,88,17,19,28.69,3.9,48.8,38.0,14.88,49.9,306,16818,64.9,9,9,2,197,73.5,Full-Time,Wellness,Compliant,88.5,89.3,7,Weekend,Q3
467,2023-07-15,Store_038,South,223,103,72,48,6.29,4.2,23.31,14.97,6.96,91.0,425,9842,68.57,16,8,3,89,88.3,Full-Time,Community,Compliant,50.6,85.4,7,Weekend,Q3
3272,2023-07-15,Store_046,West,115,77,27,11,10.05,3.1,32.43,20.26,3.01,40.8,474,19804,16.08,14,9,2,116,88.0,Seasonal,Training,Compliant,72.5,83.4,7,Weekend,Q3
1715,2023-07-15,Store_003,South,220,128,49,43,34.06,3.4,22.88,43.68,4.46,60.4,296,15476,40.4,0,9,1,80,73.3,Seasonal,Training,Compliant,70.0,98.8,7,Weekend,Q3
13297,2023-07-15,Store_019,North,175,77,52,46,36.8,3.5,50.31,17.18,13.12,90.7,330,6543,70.48,19,1,1,129,62.5,Full-Time,Training,Compliant,85.7,79.3,7,Weekend,Q3
454,2023-07-15,Store_019,North,77,51,6,20,18.65,4.2,51.44,14.73,7.52,54.0,104,42766,22.04,12,2,0,169,73.8,Full-Time,Community,Compliant,91.3,94.6,7,Weekend,Q3
12119,2023-07-15,Store_022,East,129,88,33,8,5.42,5.0,48.25,12.03,11.18,45.9,309,31415,26.64,5,4,3,124,82.1,Part-Time,Wellness,Compliant,91.1,92.8,7,Weekend,Q3
13859,2023-07-15,Store_045,North,160,64,88,8,21.07,4.9,32.69,19.92,8.68,84.8,118,10442,18.82,13,4,3,91,68.5,Full-Time,Training,Compliant,75.1,96.1,7,Weekend,Q3
13870,2023-07-15,Store_028,South,105,49,48,8,34.64,4.9,59.8,36.81,12.19,46.7,206,26305,55.34,18,0,2,135,69.0,Seasonal,Training,Partial,65.2,77.7,7,Weekend,Q3
16549,2023-07-15,Store_047,Central,64,53,6,5,23.2,3.2,37.96,44.46,11.84,43.3,176,43725,31.16,18,9,0,29,91.5,Full-Time,Wellness,Partial,84.8,96.5,7,Weekend,Q3
16137,2023-07-15,Store_042,East,122,74,37,11,33.19,4.1,23.82,46.68,3.61,81.9,366,24483,76.71,16,0,2,142,95.6,Seasonal,Wellness,Partial,64.5,76.7,7,Weekend,Q3
15278,2023-07-19,Store_044,North,67,49,17,1,26.51,3.5,53.96,16.56,8.42,62.5,473,27701,17.58,1,7,1,72,74.7,Full-Time,Diversity,Compliant,71.5,88.5,7,Weekday,Q3
287,2023-07-19,Store_019,West,151,93,37,21,13.35,3.5,21.05,33.04,3.39,78.8,129,44701,17.31,16,3,2,109,86.0,Full-Time,Community,Compliant,58.1,94.8,7,Weekday,Q3
10158,2023-07-19,Store_038,Central,200,115,53,32,11.58,3.1,25.03,30.18,8.19,58.5,486,18034,37.95,19,3,2,99,71.3,Full-Time,Wellness,Partial,50.7,95.9,7,Weekday,Q3
12099,2023-07-19,Store_012,Central,178,128,29,21,11.47,3.3,44.08,17.3,9.82,87.9,460,38895,79.43,5,6,4,182,65.7,Part-Time,Wellness,Compliant,80.5,75.6,7,Weekday,Q3
15180,2023-07-19,Store_016,East,157,98,23,36,17.48,4.9,39.19,12.68,14.41,45.7,399,4856,70.27,1,8,1,13,88.2,Seasonal,Training,Partial,54.6,97.2,7,Weekday,Q3
9,2023-07-19,Store_017,South,216,142,42,32,32.46,4.6,53.17,29.07,6.02,47.4,235,30482,14.26,18,3,2,72,67.3,Full-Time,Diversity,Compliant,55.1,83.7,7,Weekday,Q3
3029,2023-07-19,Store_035,Central,80,32,12,36,8.9,3.8,23.3,27.16,2.26,77.3,247,6955,58.23,18,9,2,120,75.6,Part-Time,Diversity,Compliant,51.5,93.5,7,Weekday,Q3
6943,2023-07-19,Store_030,South,154,104,39,11,32.49,3.6,57.54,15.43,7.38,61.4,325,39634,74.44,3,6,2,189,90.2,Full-Time,Training,Partial,92.1,98.8,7,Weekday,Q3
7717,2023-07-19,Store_015,West,199,75,82,42,14.05,4.3,22.47,32.88,8.56,94.0,234,11710,76.86,0,7,0,184,89.3,Full-Time,Wellness,Compliant,90.6,93.9,7,Weekday,Q3
11982,2023-07-19,Store_010,South,174,84,76,14,10.18,4.7,35.91,13.91,2.54,66.4,189,13223,25.69,13,8,3,21,80.6,Full-Time,Wellness,Partial,55.2,79.0,7,Weekday,Q3
36,2023-07-19,Store_028,East,142,86,42,14,18.52,4.5,31.43,25.46,12.41,93.1,307,43208,34.61,9,0,1,90,84.1,Seasonal,Wellness,Partial,62.9,85.8,7,Weekday,Q3
17949,2023-07-19,Store_033,Central,209,78,83,48,36.57,3.4,22.48,29.58,13.9,69.9,396,18037,38.25,15,5,0,25,93.9,Part-Time,Wellness,Compliant,83.7,80.1,7,Weekday,Q3
7758,2023-07-19,Store_024,South,141,77,61,3,39.49,3.5,23.8,28.62,10.74,70.2,175,36744,51.78,11,5,4,133,97.0,Full-Time,Training,Compliant,86.5,81.1,7,Weekday,Q3
6991,2023-07-19,Store_007,North,178,107,48,23,16.77,3.4,37.06,11.71,8.94,74.0,495,49038,24.1,3,7,0,137,85.6,Full-Time,Wellness,Partial,64.6,89.8,7,Weekday,Q3
19923,2023-07-19,Store_025,East,182,84,49,49,24.19,4.3,22.39,37.51,8.32,79.2,13,34776,78.06,18,6,0,99,81.9,Full-Time,Wellness,Compliant,74.8,77.0,7,Weekday,Q3
19884,2023-07-19,Store_020,East,152,50,81,21,28.23,4.8,29.06,13.92,12.94,43.0,29,43565,37.04,19,6,0,41,69.8,Full-Time,Wellness,Compliant,79.4,75.5,7,Weekday,Q3
17907,2023-07-19,Store_007,East,152,45,84,23,25.66,3.6,40.0,40.35,6.98,55.1,5,33287,23.84,0,2,2,169,94.4,Full-Time,Wellness,Compliant,78.9,92.0,7,Weekday,Q3
4284,2023-07-19,Store_028,East,134,58,74,2,23.38,4.0,25.39,23.42,14.07,65.9,374,37860,60.41,11,6,2,128,82.8,Part-Time,Community,Non-Compliant,75.0,88.1,7,Weekday,Q3
12795,2023-07-19,Store_011,East,171,105,39,27,38.77,4.4,22.58,33.93,14.95,78.3,180,35918,49.22,18,7,1,164,78.9,Full-Time,Training,Non-Compliant,62.0,90.7,7,Weekday,Q3
7809,2023-07-19,Store_020,Central,152,67,45,40,5.91,4.0,42.09,27.48,6.36,71.8,395,38414,21.72,15,3,1,73,98.6,Full-Time,Training,Partial,65.9,93.4,7,Weekday,Q3
11599,2023-07-19,Store_008,East,137,85,19,33,16.59,3.1,36.1,49.37,11.0,80.6,390,47405,62.66,19,9,0,124,79.3,Full-Time,Training,Non-Compliant,50.2,82.4,7,Weekday,Q3
11506,2023-07-19,Store_047,North,78,56,18,4,29.37,3.3,27.6,41.22,7.68,66.6,499,36619,41.93,9,7,3,146,62.4,Part-Time,Wellness,Compliant,84.3,89.7,7,Weekday,Q3
14795,2023-07-19,Store_036,South,140,50,43,47,19.22,3.2,32.17,40.05,2.61,65.8,27,7725,70.62,7,5,2,28,74.8,Full-Time,Community,Compliant,97.0,82.0,7,Weekday,Q3
9263,2023-07-19,Store_005,West,50,39,6,5,21.33,4.6,55.73,14.11,10.96,90.9,80,3441,52.93,14,6,3,67,76.3,Full-Time,Training,Non-Compliant,66.6,83.3,7,Weekday,Q3
2718,2023-07-19,Store_040,East,167,50,89,28,10.76,3.9,30.81,11.1,8.9,85.3,255,19950,28.51,13,7,0,153,79.1,Full-Time,Diversity,Non-Compliant,71.8,83.3,7,Weekday,Q3
5901,2023-07-19,Store_048,Central,118,59,53,6,34.91,4.3,31.62,21.39,8.77,40.6,216,29415,19.34,10,6,3,31,93.0,Full-Time,Training,Compliant,84.0,97.7,7,Weekday,Q3
15018,2023-07-19,Store_005,South,149,119,27,3,14.67,4.0,40.42,49.29,5.13,49.4,112,32290,36.53,17,3,0,133,79.8,Full-Time,Training,Partial,83.5,95.2,7,Weekday,Q3
17319,2023-07-19,Store_004,Central,178,69,63,46,25.67,3.3,54.12,14.6,12.62,64.8,422,42159,42.34,18,8,1,91,61.7,Part-Time,Wellness,Compliant,93.3,92.1,7,Weekday,Q3
17318,2023-07-19,Store_022,West,84,30,39,15,39.52,4.4,32.19,49.09,12.97,70.2,211,36160,74.45,12,0,2,18,92.8,Full-Time,Community,Compliant,73.2,88.6,7,Weekday,Q3
12269,2023-07-19,Store_014,Central,87,34,39,14,39.73,4.2,40.44,25.65,11.43,94.9,252,5404,66.33,11,8,2,138,69.3,Full-Time,Training,Compliant,70.8,96.4,7,Weekday,Q3
8750,2023-07-19,Store_034,West,200,110,76,14,35.74,4.6,36.18,20.59,5.36,81.2,232,14116,17.62,18,3,4,50,62.0,Full-Time,Training,Compliant,60.1,80.3,7,Weekday,Q3
8059,2023-07-19,Store_037,East,152,31,89,32,21.87,4.5,53.32,20.1,7.67,60.2,82,15428,36.54,9,0,4,135,62.7,Full-Time,Wellness,Compliant,51.3,95.6,7,Weekday,Q3
8674,2023-07-19,Store_002,North,140,51,77,12,30.3,3.6,28.51,33.26,10.24,44.2,398,43236,31.14,14,2,3,107,62.3,Full-Time,Community,Non-Compliant,71.6,86.2,7,Weekday,Q3
18913,2023-07-19,Store_010,Central,199,87,78,34,5.77,4.9,55.18,16.12,6.71,80.3,161,16835,59.75,14,9,1,182,87.1,Part-Time,Training,Partial,54.1,88.2,7,Weekday,Q3
5616,2023-07-19,Store_017,Central,128,56,70,2,38.24,4.1,26.05,19.22,7.48,75.3,22,46923,37.21,14,9,3,107,83.0,Part-Time,Community,Compliant,89.1,98.9,7,Weekday,Q3
1584,2023-07-19,Store_023,Central,119,73,15,31,32.81,4.1,36.3,26.37,9.59,74.1,48,7576,46.83,9,6,2,105,84.8,Full-Time,Training,Compliant,93.8,94.0,7,Weekday,Q3
16691,2023-07-19,Store_006,East,153,98,26,29,22.17,3.4,54.95,41.27,14.24,93.8,269,5254,16.62,17,0,3,23,61.2,Full-Time,Training,Compliant,96.9,95.2,7,Weekday,Q3
3643,2023-07-19,Store_039,East,210,133,31,46,16.52,4.7,34.0,11.73,8.53,88.0,71,27101,25.92,17,0,4,31,71.0,Full-Time,Wellness,Compliant,98.4,78.6,7,Weekday,Q3
